Amostra,Rotacao,Pressao Oleo,Pressao Combustivel,Pressao Arrefecimento,Temperatura Oleo,Temperatura Arrefecimento,Condicao Motor
4280,698,2.66,13.03,2.17,76.25,90.86,1
4281,527,4.63,7.94,2.42,75.51,83.12,0
4282,769,3.48,7.09,2.93,75.51,71.40,1
4283,607,2.52,6.73,1.15,76.42,84.38,1
4284,995,2.98,10.06,2.21,85.83,86.74,0
4285,610,2.97,6.68,3.82,77.10,86.90,1
4286,793,3.99,9.47,2.44,76.55,81.44,1
4287,789,2.66,6.62,2.57,77.23,84.91,0
4288,641,2.75,6.72,3.26,76.93,72.65,0
4289,1142,3.41,4.41,2.67,77.30,71.40,0
4290,731,4.09,6.76,2.71,81.79,75.62,0
4291,571,2.56,6.16,2.52,75.93,72.88,0
4292,625,5.62,6.19,1.13,74.16,76.83,1
4293,1260,3.07,5.40,2.97,75.73,74.81,1
4294,424,3.05,7.70,2.60,74.99,80.58,1
4295,450,2.15,5.14,1.05,76.63,78.22,1
4296,1127,3.74,6.75,1.76,80.34,85.00,0
4297,872,1.32,12.44,1.42,75.93,76.20,0
4298,1463,2.80,9.63,2.29,77.52,75.55,0
4299,894,5.04,4.38,2.74,74.84,76.82,1
4300,673,2.99,5.22,1.96,75.43,73.87,1
4301,504,2.24,1.03,5.35,77.04,82.83,1
4302,733,3.14,5.34,1.38,76.42,75.77,0
4303,500,3.26,6.39,3.07,76.07,86.47,1
4304,850,4.30,7.85,2.91,76.38,83.26,1
4305,832,3.17,7.25,1.63,76.84,87.10,0
4306,419,2.36,12.89,3.30,74.32,75.40,1
4307,665,3.53,2.04,3.30,74.48,76.88,0
4308,735,2.52,1.79,1.15,75.84,73.92,1
4309,561,3.35,7.18,4.34,76.43,78.66,1
4310,997,2.10,8.14,2.61,76.69,79.66,0
4311,793,1.71,8.14,1.74,76.50,72.86,0
4312,753,2.00,9.16,1.76,75.41,81.64,1
4313,528,1.75,6.90,2.97,76.75,79.36,1
4314,376,2.42,7.03,1.44,76.03,74.06,1
4315,752,1.91,5.18,1.36,75.25,74.70,1
4316,892,3.60,8.76,3.07,75.42,87.04,0
4317,579,5.07,7.01,2.95,75.09,69.91,1
4318,451,3.78,12.68,2.55,75.87,90.77,1
4319,523,3.75,5.07,2.34,76.68,82.66,1
4320,1107,1.97,6.70,1.77,76.83,81.55,0
4321,376,3.17,6.24,1.84,74.95,80.81,1
4322,571,2.54,5.81,2.08,77.25,77.17,1
4323,779,1.80,8.49,5.56,78.59,92.06,1
4324,929,3.24,4.83,3.00,83.47,91.27,1
4325,557,2.64,10.88,6.11,73.69,81.57,0
4326,976,4.38,7.03,4.72,75.63,82.06,0
4327,762,3.63,10.40,1.84,86.75,81.05,1
4328,1099,3.95,2.74,1.64,85.04,87.36,0
4329,607,5.56,9.54,1.10,86.76,78.05,1
4330,609,3.56,6.45,3.28,82.91,76.04,1
4331,1029,4.43,5.32,2.05,74.88,71.47,0
4332,653,4.06,5.55,1.01,78.95,85.17,1
4333,1106,2.18,10.03,2.17,77.14,84.81,1
4334,654,2.24,10.55,1.91,77.30,74.75,1
4335,758,2.11,10.37,5.13,75.54,79.11,1
4336,1067,4.27,9.99,2.34,75.04,79.93,0
4337,752,3.71,7.08,2.63,74.64,77.29,0
4338,84,3.83,4.91,1.06,75.63,77.41,1
4339,1031,3.66,5.28,4.95,78.08,84.01,0
4340,696,2.99,11.70,2.27,80.16,88.18,0
4341,659,2.18,13.81,2.79,78.34,86.79,1
4342,739,2.39,2.73,1.79,78.08,83.91,1
4343,544,3.73,5.91,1.51,78.65,66.61,1
4344,1015,2.30,6.35,2.71,78.13,77.45,0
4345,540,4.78,7.53,3.92,82.19,85.46,1
4346,656,3.02,4.48,1.48,76.57,74.61,1
4347,790,3.52,1.76,2.43,80.65,71.49,1
4348,702,3.98,7.04,2.33,75.53,71.50,1
4349,1075,2.61,13.53,1.79,76.86,71.26,1
4350,648,2.82,7.99,3.44,75.03,76.65,1
4351,839,4.39,8.39,3.56,83.50,84.93,1
4352,1333,4.36,6.78,1.11,76.87,67.74,1
4353,663,1.76,18.20,2.74,80.24,75.58,1
4354,773,4.37,6.72,1.61,89.12,87.45,1
4355,619,3.78,6.54,1.47,87.33,74.41,0
4356,752,4.00,2.95,3.22,76.71,84.30,1
4357,871,2.00,6.90,1.85,75.71,72.24,0
4358,715,4.18,4.21,1.12,75.96,68.94,0
4359,755,2.68,0.20,1.90,83.85,70.95,1
4360,806,3.45,7.45,1.85,73.35,69.06,1
4361,778,2.30,4.97,1.51,76.13,71.24,1
4362,817,3.61,6.77,3.57,75.15,74.16,1
4363,789,5.17,4.93,2.03,74.03,71.25,1
4364,650,3.17,7.15,3.08,76.91,87.17,1
4365,504,2.65,5.57,2.68,76.32,82.62,1
4366,1139,3.65,4.07,2.13,75.41,80.95,1
4367,451,4.12,8.57,1.97,77.04,73.37,1
4368,694,3.92,6.72,1.52,84.50,72.13,1
4369,764,3.70,5.48,2.39,75.96,88.58,0
4370,1333,2.65,11.89,2.82,76.53,66.47,0
4371,772,3.91,6.71,1.64,78.19,81.89,1
4372,890,2.62,11.80,1.15,74.52,72.34,1
4373,802,3.40,9.79,1.79,79.42,82.63,0
4374,641,2.21,6.68,3.62,74.68,79.09,1
4375,385,4.12,4.90,2.74,77.26,84.56,1
4376,684,3.98,6.06,2.87,75.68,75.70,1
4377,995,4.50,3.71,3.34,78.16,81.12,0
4378,637,3.38,4.41,2.15,77.74,69.62,1
4379,388,2.66,5.71,1.29,76.33,70.15,1
4380,562,5.12,8.01,2.80,76.32,77.39,1
4381,775,2.91,7.49,1.40,77.13,69.59,1
4382,903,4.73,6.54,2.46,75.19,78.06,0
4383,641,2.15,8.43,2.56,76.50,84.70,1
4384,575,2.79,8.16,1.85,77.39,68.42,0
4385,142,5.41,12.13,1.76,76.44,78.50,1
4386,382,5.15,16.21,0.91,75.29,80.31,1
4387,987,4.07,5.56,1.33,76.24,72.65,0
4388,841,2.14,4.03,2.93,76.10,81.37,1
4389,884,2.69,4.75,1.21,75.46,68.19,1
4390,749,3.99,6.84,1.64,75.96,81.09,1
4391,608,3.83,11.48,2.07,73.30,79.50,0
4392,513,2.18,7.84,1.63,74.24,72.49,1
4393,444,4.61,18.75,3.07,74.84,75.78,1
4394,494,3.20,7.26,2.09,81.24,84.43,1
4395,753,1.04,6.42,2.65,76.16,71.92,1
4396,562,3.60,5.30,3.25,86.80,77.54,0
4397,520,3.77,5.64,2.11,77.91,84.99,1
4398,826,3.34,11.37,4.10,76.68,80.87,1
4399,556,2.31,7.80,2.52,76.83,77.02,1
4400,804,1.92,3.88,1.75,76.86,80.89,1
4401,851,2.83,7.40,2.37,76.24,85.04,1
4402,685,5.06,8.18,1.80,76.21,85.80,1
4403,1484,2.86,5.57,4.44,81.47,76.67,0
4404,937,1.84,9.59,1.57,82.16,87.24,1
4405,1265,4.80,4.29,0.87,76.97,69.27,0
4406,1011,4.01,6.77,2.05,75.80,80.00,1
4407,879,3.21,3.58,1.69,83.54,75.29,0
4408,655,2.55,6.77,2.53,77.27,64.48,0
4409,1609,1.86,6.71,3.04,76.34,83.08,0
4410,1391,2.92,12.85,1.83,75.52,81.54,0
4411,539,5.44,7.83,1.86,75.65,74.26,1
4412,605,3.47,7.20,3.05,76.26,82.18,1
4413,448,2.40,5.81,1.51,78.23,74.66,0
4414,795,2.57,5.04,1.86,77.14,87.61,1
4415,941,4.76,8.64,1.30,89.58,79.04,0
4416,905,2.15,3.55,1.51,76.34,76.04,0
4417,1143,3.18,5.24,1.89,76.36,75.05,0
4418,569,3.94,4.63,4.71,76.08,79.56,1
4419,741,2.94,3.35,1.78,76.48,78.16,1
4420,684,4.00,6.25,1.60,76.74,76.86,1
4421,964,5.86,7.27,2.00,75.34,83.72,1
4422,345,0.46,6.26,2.20,76.90,75.42,1
4423,582,4.07,7.95,2.93,76.84,82.03,1
4424,1047,5.18,6.51,1.56,77.79,77.27,0
4425,814,1.31,4.71,1.70,77.54,70.21,1
4426,812,2.00,6.80,1.46,84.29,87.10,1
4427,684,4.01,11.78,3.11,75.57,68.94,1
4428,842,4.91,5.26,1.57,77.55,81.54,1
4429,946,3.58,4.84,1.70,76.20,79.03,0
4430,1633,2.42,6.70,1.14,82.02,81.65,0
4431,809,4.19,16.42,2.53,79.25,77.34,1
4432,1631,3.11,7.14,4.16,76.52,82.21,1
4433,453,3.08,8.35,1.81,77.37,86.85,1
4434,1355,3.56,6.34,3.15,87.03,93.05,0
4435,544,3.28,3.72,2.03,76.42,82.55,0
4436,529,5.22,9.28,1.87,76.81,74.15,1
4437,691,4.38,4.63,1.50,78.60,80.28,1
4438,792,3.11,3.71,1.35,74.56,81.28,0
4439,988,0.88,5.92,2.82,77.82,72.12,1
4440,523,2.97,6.76,4.46,75.29,88.35,1
4441,815,2.07,7.65,2.33,75.83,68.83,1
4442,766,4.57,5.78,1.42,76.04,84.96,1
4443,792,5.08,4.01,1.88,78.03,75.69,0
4444,1764,4.64,5.99,1.88,77.05,71.22,0
4445,428,4.06,8.65,3.21,75.83,81.73,1
4446,949,2.83,7.49,1.10,79.18,70.76,0
4447,511,2.75,4.14,5.91,75.88,86.89,1
4448,686,2.19,5.75,1.90,76.54,87.43,1
4449,932,4.62,4.90,1.73,79.37,83.03,0
4450,542,3.65,3.79,3.43,78.78,80.97,0
4451,826,4.17,5.34,1.78,83.78,78.06,0
4452,677,2.42,8.38,2.67,76.46,80.51,1
4453,1157,4.39,6.21,3.30,76.15,74.31,1
4454,391,3.21,4.40,2.74,82.69,80.83,1
4455,680,4.05,7.50,2.40,86.75,68.15,1
4456,914,2.25,16.20,1.41,76.21,81.06,1
4457,529,2.48,6.98,5.51,80.45,81.25,1
4458,883,3.09,6.11,2.15,77.20,72.53,0
4459,687,3.73,2.56,3.48,84.45,80.87,1
4460,945,2.72,2.19,2.88,76.67,83.07,0
4461,797,2.21,6.45,1.61,77.81,79.40,0
4462,461,2.35,6.27,1.35,75.73,73.44,1
4463,549,2.04,8.78,2.20,74.79,70.69,1
4464,1399,3.37,6.85,2.02,78.11,73.67,0
4465,615,2.10,6.66,0.54,87.33,77.91,1
4466,955,2.75,6.92,2.13,77.73,70.18,0
4467,1246,2.95,7.01,1.41,76.19,74.49,0
4468,494,4.13,6.18,6.01,77.95,82.97,1
4469,649,2.79,7.12,2.21,77.13,76.94,1
4470,466,4.35,4.53,1.03,76.93,72.72,1
4471,675,3.52,7.52,1.42,77.49,83.57,0
4472,447,2.68,4.86,1.30,89.14,91.84,0
4473,866,4.85,6.15,2.63,77.54,75.47,1
4474,778,3.15,6.43,3.06,75.40,83.31,1
4475,543,4.69,11.04,3.45,77.01,71.43,1
4476,871,3.54,2.14,3.42,77.15,79.31,1
4477,500,2.57,5.77,1.78,77.08,75.62,1
4478,604,2.04,4.51,2.34,75.41,73.47,0
4479,932,3.53,6.10,1.81,76.41,77.66,1
4480,975,2.15,11.41,1.01,76.05,76.29,0
4481,654,4.23,6.52,1.06,72.86,74.41,1
4482,1195,2.50,7.66,1.99,73.65,81.89,0
4483,930,3.28,8.67,3.16,75.81,66.58,0
4484,856,5.03,6.93,0.89,77.32,72.53,0
4485,1598,4.37,6.41,2.58,84.12,69.05,1
4486,661,4.96,18.00,0.96,76.47,73.92,1
4487,1019,3.99,2.29,2.61,77.39,85.33,0
4488,454,3.78,7.59,2.37,79.21,75.53,1
4489,912,5.13,4.23,1.68,78.69,72.93,1
4490,492,2.99,5.31,1.14,75.27,71.34,1
4491,738,3.91,8.88,1.54,75.60,75.55,1
4492,730,3.20,8.04,2.33,78.88,82.75,1
4493,781,4.01,6.70,1.39,75.43,79.69,1
4494,642,3.07,3.39,2.43,75.52,77.38,0
4495,627,2.83,5.85,6.97,76.68,83.89,0
4496,490,4.22,4.49,1.34,76.40,78.01,1
4497,579,4.37,5.80,1.23,82.70,62.45,0
4498,461,2.12,5.41,3.44,76.21,73.68,0
4499,952,2.22,17.37,2.58,80.23,89.19,1
4500,442,2.91,10.85,1.34,86.29,71.26,1
4501,865,2.48,7.52,3.12,76.03,85.73,0
4502,1004,3.68,8.77,1.61,78.40,85.15,1
4503,1287,2.61,5.18,2.95,75.60,82.93,1
4504,970,2.32,4.16,2.85,77.50,82.66,0
4505,1251,2.08,6.77,1.56,75.47,76.99,0
4506,891,2.95,10.78,5.02,74.07,82.10,0
4507,922,2.60,4.87,1.91,82.04,82.09,0
4508,625,3.35,8.21,2.39,77.43,74.83,1
4509,996,3.25,8.40,3.81,76.00,70.01,0
4510,1001,3.57,15.78,3.88,76.54,86.39,1
4511,1299,3.11,5.69,1.40,85.53,81.05,1
4512,973,2.16,11.99,2.62,76.64,78.45,1
4513,859,4.90,6.33,2.55,84.01,83.16,1
4514,517,4.00,7.74,1.66,84.01,92.32,1
4515,742,4.51,1.65,3.20,76.60,69.99,1
4516,1170,4.52,3.60,1.97,75.87,84.16,1
4517,466,3.69,7.21,1.42,86.01,92.52,1
4518,765,4.05,7.50,5.55,75.16,76.00,1
4519,532,2.28,4.44,1.78,74.22,74.03,1
4520,572,5.05,8.93,3.11,75.49,78.74,0
4521,774,3.18,4.98,2.55,74.95,86.46,0
4522,635,2.94,4.86,2.59,82.50,78.94,1
4523,879,2.81,4.65,4.64,76.41,76.21,1
4524,640,2.24,2.59,3.42,73.83,78.32,0
4525,636,2.37,5.36,1.18,75.56,78.44,0
4526,466,2.71,3.72,2.26,75.65,83.38,1
4527,678,2.40,5.25,2.60,77.92,76.78,1
4528,751,2.32,4.99,1.38,74.03,86.58,1
4529,1235,2.37,7.62,1.26,77.29,78.16,0
4530,681,3.85,8.29,1.01,85.01,67.45,1
4531,918,2.73,5.48,2.35,75.98,78.13,1
4532,660,2.10,4.24,2.24,77.04,77.92,0
4533,825,3.38,4.50,2.76,78.28,72.15,0
4534,1281,3.02,6.22,3.07,75.57,87.54,0
4535,524,4.07,6.87,1.35,75.72,86.26,1
4536,756,2.24,6.41,2.20,75.02,76.17,1
4537,1543,3.87,5.96,2.29,76.28,78.58,1
4538,1147,2.58,4.21,2.10,77.42,90.96,0
4539,796,1.96,9.06,0.99,76.72,72.81,1
4540,717,3.86,4.19,2.72,76.41,68.84,1
4541,603,3.97,4.48,1.67,76.76,77.47,0
4542,388,1.91,5.70,1.22,77.47,72.97,0
4543,1097,5.26,3.81,2.82,77.34,82.86,1
4544,554,4.66,4.49,2.40,76.31,82.59,1
4545,777,3.69,7.17,1.78,76.17,67.05,1
4546,551,4.57,6.82,0.34,81.80,82.02,1
4547,396,3.02,9.08,4.29,76.65,66.99,1
4548,567,4.48,3.26,1.61,76.94,73.82,0
4549,772,5.62,3.86,2.51,77.00,73.57,1
4550,485,1.76,6.78,0.97,78.32,76.53,0
4551,803,1.66,5.46,1.66,75.02,77.09,0
4552,1052,2.39,12.45,1.28,76.63,84.43,0
4553,916,2.95,4.94,1.48,75.93,81.20,1
4554,635,4.34,7.58,3.36,78.24,80.76,1
4555,591,3.25,12.14,2.36,75.39,81.96,1
4556,1096,5.77,11.29,1.81,75.03,81.04,1
4557,393,4.00,3.22,2.28,76.37,73.96,0
4558,615,5.19,5.01,4.76,75.67,70.22,1
4559,338,1.97,3.65,1.55,78.67,83.46,1
4560,566,4.68,8.74,3.28,84.19,89.36,1
4561,745,3.92,11.80,2.39,81.95,86.32,0
4562,729,2.52,6.34,2.08,77.86,84.52,0
4563,888,3.24,7.59,2.65,88.05,84.49,1
4564,720,4.74,9.32,3.06,73.08,63.06,1
4565,1419,2.62,4.65,2.05,76.07,67.02,1
4566,838,2.41,4.89,1.19,76.16,79.87,1
4567,820,4.75,4.76,2.60,77.47,88.99,1
4568,853,4.05,3.75,2.70,75.82,77.81,0
4569,481,3.63,6.53,4.01,76.63,78.34,0
4570,1180,2.66,6.63,1.49,78.13,84.47,1
4571,874,5.09,2.78,2.79,75.42,79.44,1
4572,518,2.71,7.91,3.39,78.49,80.28,0
4573,451,2.43,4.68,1.66,75.91,76.32,0
4574,816,3.83,1.83,1.64,77.74,66.68,1
4575,678,3.82,4.43,1.62,76.54,71.83,0
4576,1059,3.60,7.09,0.78,80.94,75.75,1
4577,642,4.17,18.67,2.07,76.18,74.59,1
4578,1310,3.73,6.84,2.95,78.48,71.80,1
4579,1192,5.38,4.03,1.42,78.44,84.75,1
4580,516,5.29,7.29,1.44,76.52,75.10,1
4581,431,5.30,5.92,1.70,72.60,67.32,1
4582,831,3.98,3.80,3.65,74.74,81.52,0
4583,1516,2.08,5.05,2.78,81.05,84.98,0
4584,733,2.89,8.16,1.70,74.78,80.64,1
4585,741,5.11,5.10,0.98,87.47,82.25,0
4586,845,3.13,8.75,3.81,75.68,79.78,0
4587,666,3.75,5.08,3.41,77.10,88.89,0
4588,496,2.62,8.19,1.67,74.75,67.06,1
4589,685,3.60,3.82,1.86,88.93,75.91,0
4590,490,2.46,3.96,1.35,75.39,78.27,1
4591,722,3.90,7.44,1.63,76.24,86.27,1
4592,705,4.86,6.23,1.85,77.00,77.87,1
4593,506,2.36,8.04,2.35,87.76,84.93,1
4594,725,2.98,10.37,2.88,85.11,86.57,0
4595,1291,3.80,18.22,2.94,76.60,71.74,1
4596,1322,2.99,9.12,2.02,72.96,84.98,0
4597,1074,4.59,3.67,2.39,75.35,76.35,0
4598,612,3.75,2.97,1.52,83.14,76.16,1
4599,515,3.21,7.41,2.29,76.64,70.00,1
4600,1103,4.17,6.04,1.95,78.55,79.75,1
4601,731,3.38,6.91,2.80,75.24,78.44,0
4602,1056,2.79,3.96,3.09,80.61,80.65,0
4603,794,5.06,6.78,2.21,76.14,72.95,1
4604,943,1.90,3.93,3.62,77.63,89.81,1
4605,582,3.05,7.71,2.58,74.53,78.90,1
4606,846,0.26,7.65,1.48,76.03,76.35,1
4607,1148,3.17,1.92,2.46,81.55,75.04,0
4608,729,2.17,2.61,1.93,78.07,91.13,1
4609,1018,3.51,7.38,1.69,75.34,72.69,1
4610,626,4.07,8.22,1.67,76.46,84.84,1
4611,537,4.78,7.62,1.37,78.02,82.30,1
4612,671,4.37,14.44,2.62,82.17,86.98,1
4613,566,3.81,4.61,2.77,76.45,70.23,1
4614,1278,2.38,9.13,4.62,74.84,82.77,0
4615,565,3.44,12.04,1.42,76.33,89.32,0
4616,710,0.88,16.28,1.94,80.72,86.27,1
4617,1350,3.76,4.71,2.33,75.20,66.01,0
4618,798,2.32,7.67,1.83,77.12,72.51,1
4619,882,3.06,7.09,2.75,75.64,75.02,0
4620,971,2.16,5.29,5.56,77.72,83.30,0
4621,552,2.76,1.37,5.75,76.91,87.88,0
4622,442,2.19,7.44,3.05,75.75,86.64,1
4623,775,2.03,7.60,1.42,75.60,88.21,1
4624,485,4.70,6.14,2.98,77.43,85.15,0
4625,821,4.12,7.71,3.56,82.51,83.39,0
4626,1156,3.77,4.03,2.70,83.92,74.51,0
4627,597,5.00,8.33,2.18,74.98,67.06,1
4628,809,2.46,3.39,1.50,75.64,76.24,0
4629,392,4.15,12.18,1.55,77.41,69.24,1
4630,438,2.75,8.14,3.01,76.40,79.55,1
4631,810,3.86,7.04,2.99,85.23,70.75,0
4632,567,2.29,6.88,1.75,78.08,80.25,1
4633,1215,4.37,6.06,1.37,75.42,79.35,0
4634,1351,2.74,4.35,6.31,79.93,86.23,0
4635,467,4.29,9.31,2.10,75.56,72.75,0
4636,710,2.60,8.97,1.80,80.19,81.16,0
4637,479,1.85,1.59,1.14,75.98,82.37,0
4638,533,2.50,7.03,1.78,75.65,74.07,1
4639,513,2.73,17.48,2.69,78.57,74.14,1
4640,985,2.71,5.13,1.78,76.04,76.72,1
4641,776,2.37,6.77,1.90,76.93,77.37,1
4642,1409,3.04,6.07,1.31,82.20,73.69,0
4643,1375,3.95,3.90,1.55,77.41,71.04,0
4644,730,2.90,14.65,1.60,76.15,75.35,1
4645,605,4.28,3.37,1.78,75.69,82.98,1
4646,1158,4.31,4.54,1.65,78.59,82.58,1
4647,1115,3.14,7.40,1.79,74.94,82.15,1
4648,981,4.40,7.19,2.00,76.99,82.02,1
4649,668,4.88,5.45,5.21,78.27,76.29,0
4650,562,3.67,4.19,4.90,78.13,83.92,0
4651,477,2.76,4.79,2.20,75.27,70.29,1
4652,721,4.92,6.71,1.72,77.56,85.55,0
4653,681,0.50,10.74,2.16,78.57,83.67,1
4654,729,2.38,11.28,1.55,73.69,87.99,1
4655,675,4.72,6.87,2.24,78.94,72.39,1
4656,1388,2.90,6.12,1.25,76.21,70.61,1
4657,873,2.40,4.00,2.94,76.95,81.08,0
4658,718,3.17,9.94,6.18,75.94,73.05,1
4659,790,2.09,2.74,1.62,75.83,82.43,0
4660,671,2.76,7.61,2.34,76.55,70.75,0
4661,717,4.51,3.23,2.95,76.93,79.90,0
4662,884,4.60,5.81,1.63,75.45,81.47,1
4663,1137,3.51,7.89,1.85,76.50,84.65,0
4664,625,2.47,7.75,2.00,80.62,73.36,1
4665,983,3.89,5.44,3.23,84.73,72.44,1
4666,1118,4.78,11.88,4.80,84.31,80.78,0
4667,442,5.42,9.54,2.43,76.89,76.12,1
4668,866,4.78,4.94,1.23,76.11,81.97,1
4669,1344,3.94,7.45,2.55,77.29,78.63,0
4670,611,4.02,5.84,1.40,75.99,84.57,1
4671,603,3.45,4.72,3.44,77.73,75.96,0
4672,793,5.91,3.98,1.41,74.90,68.45,1
4673,764,5.13,5.20,3.62,76.54,66.76,1
4674,665,1.92,4.92,1.47,76.73,71.23,0
4675,832,4.80,4.58,1.78,76.19,79.55,0
4676,632,2.59,4.40,3.14,74.20,83.78,1
4677,1333,3.71,4.00,4.44,77.52,71.57,0
4678,819,3.15,7.35,3.01,76.00,81.90,0
4679,653,2.48,6.63,2.48,76.73,82.03,1
4680,807,3.23,7.09,2.83,76.84,77.08,0
4681,947,2.69,6.49,2.28,76.00,77.31,1
4682,713,2.90,10.36,4.56,80.32,76.85,1
4683,1520,3.90,6.61,2.24,76.43,76.80,0
4684,745,2.42,5.32,2.48,78.30,82.99,1
4685,966,2.81,7.91,1.62,77.98,78.41,0
4686,581,1.73,3.74,0.98,76.15,87.50,1
4687,862,4.35,13.85,2.46,77.99,86.77,0
4688,1598,4.56,13.66,1.27,75.56,79.08,0
4689,739,2.85,6.07,3.10,75.89,86.75,1
4690,626,5.06,6.78,1.08,75.85,80.00,1
4691,923,2.87,6.55,2.65,85.45,86.43,1
4692,956,2.77,6.48,2.70,83.24,73.73,1
4693,695,2.10,6.08,1.79,74.31,83.69,1
4694,434,4.46,7.57,1.84,77.10,75.24,1
4695,996,2.31,8.10,2.30,80.65,89.42,0
4696,1485,2.30,6.46,1.83,73.91,72.50,1
4697,540,3.19,5.25,3.21,74.45,68.91,1
4698,684,4.60,2.41,1.33,74.40,71.21,1
4699,1088,3.41,6.44,3.07,77.15,88.52,1
4700,423,2.63,5.58,1.69,80.75,71.53,1
4701,1240,4.46,7.43,1.53,74.95,85.78,0
4702,512,3.01,4.69,2.27,77.08,72.89,1
4703,848,4.11,4.41,2.52,78.28,65.00,1
4704,469,4.33,5.22,6.63,76.09,78.95,1
4705,1031,4.90,4.73,1.35,78.54,77.59,0
4706,1047,2.53,4.30,5.14,78.00,77.29,1
4707,824,3.01,5.28,3.04,78.62,86.45,0
4708,1276,5.01,9.78,2.90,76.28,80.89,0
4709,606,3.37,9.39,3.10,77.20,82.00,1
4710,1192,2.36,5.99,1.46,75.56,73.93,1
4711,697,1.82,6.36,1.39,77.29,87.01,0
4712,675,1.93,6.73,1.35,76.57,82.55,1
4713,1175,2.32,5.35,1.91,78.84,84.88,1
4714,773,3.21,11.02,2.86,75.39,76.14,1
4715,649,5.03,5.08,1.63,76.75,75.22,1
4716,591,3.91,4.84,1.86,77.87,81.66,1
4717,902,2.31,0.12,1.48,79.78,75.43,1
4718,792,4.67,4.76,2.73,81.24,85.12,1
4719,1345,2.91,17.44,2.69,85.89,80.00,1
4720,816,3.61,8.00,6.46,87.43,83.68,0
4721,843,2.92,15.82,1.31,76.88,79.67,1
4722,624,2.56,5.91,1.83,76.88,69.43,0
4723,709,3.73,0.70,3.27,77.82,77.59,0
4724,625,2.56,4.36,1.26,86.53,81.40,0
4725,1316,4.67,6.07,2.72,82.85,85.14,1
4726,809,2.85,6.38,2.52,80.31,75.77,1
4727,1031,4.81,4.49,1.92,85.53,78.62,1
4728,758,2.96,7.68,4.04,74.79,78.85,0
4729,1108,2.20,6.82,1.75,76.00,88.85,0
4730,1320,3.96,6.34,1.19,77.36,81.23,1
4731,988,3.47,9.52,1.57,76.47,77.41,1
4732,396,2.86,5.99,3.25,77.75,89.63,1
4733,787,2.82,4.96,2.83,78.42,82.96,1
4734,700,2.95,5.10,2.02,77.14,74.76,1
4735,846,2.99,5.91,2.71,74.76,85.49,0
4736,544,2.52,7.28,2.66,77.38,80.28,1
4737,704,4.83,4.49,2.21,84.95,89.17,1
4738,712,4.88,3.45,2.10,76.60,74.06,0
4739,683,3.26,6.25,1.64,75.79,78.35,1
4740,891,4.11,6.14,2.69,75.85,73.40,1
4741,604,2.45,6.77,3.17,76.87,88.84,1
4742,598,3.13,5.66,1.53,76.21,71.64,1
4743,611,4.01,4.66,0.18,77.53,81.07,1
4744,775,4.37,13.72,0.75,77.57,78.92,0
4745,713,3.81,13.15,5.69,74.24,77.81,1
4746,1023,2.76,4.44,1.43,77.97,78.13,0
4747,612,2.50,7.10,3.36,75.12,71.85,1
4748,861,2.17,4.22,1.61,77.99,89.72,0
4749,616,2.37,4.14,2.37,77.54,81.61,1
4750,926,2.40,3.52,0.52,84.23,83.12,0
4751,680,3.29,14.86,5.55,76.56,83.36,1
4752,720,4.20,4.68,0.70,75.63,73.98,0
4753,1337,2.68,4.39,2.96,73.80,86.06,0
4754,669,4.17,7.30,4.38,79.10,79.52,1
4755,628,5.00,3.47,1.37,78.26,72.04,1
4756,519,5.15,7.56,3.00,76.60,70.79,1
4757,1561,4.62,9.74,5.53,77.52,84.68,1
4758,987,3.59,8.29,1.60,77.13,82.19,1
4759,1226,3.30,4.34,2.88,76.06,78.33,0
4760,1296,4.71,4.75,3.79,76.28,74.31,1
4761,1109,2.13,8.78,2.14,76.84,81.77,0
4762,928,5.39,9.21,1.87,88.59,68.18,0
4763,553,2.97,2.60,1.72,76.82,78.37,1
4764,844,2.58,3.65,1.66,80.47,86.75,1
4765,640,2.44,5.41,1.87,75.59,74.69,1
4766,961,4.10,10.53,1.31,78.75,78.78,0
4767,370,2.61,14.66,1.32,76.67,78.28,1
4768,1009,2.18,4.71,3.12,76.11,81.15,0
4769,441,3.85,8.32,2.98,78.19,71.80,1
4770,582,3.47,10.77,3.09,81.05,83.66,1
4771,461,2.90,6.38,2.25,75.06,86.57,1
4772,1252,3.56,4.13,2.41,83.68,75.12,0
4773,373,2.70,5.61,2.45,77.08,71.88,1
4774,967,2.07,6.96,1.29,74.77,83.72,0
4775,1474,3.79,6.65,3.06,73.95,83.48,0
4776,551,2.81,4.68,0.76,77.86,67.08,1
4777,726,1.89,1.49,3.07,78.16,86.41,1
4778,669,3.41,3.35,3.86,76.43,78.32,0
4779,630,4.36,3.16,2.90,86.04,72.59,1
4780,468,1.31,7.57,3.64,76.43,77.89,0
4781,1400,3.63,6.60,2.64,74.99,75.49,0
4782,932,2.93,6.02,1.69,75.75,74.70,0
4783,811,1.84,11.73,2.46,76.93,76.04,1
4784,1305,2.49,4.31,1.91,75.58,79.29,1
4785,815,3.26,6.50,3.62,77.17,74.60,1
4786,944,2.76,7.53,1.33,83.43,74.24,0
4787,670,2.63,4.59,1.93,75.54,76.59,1
4788,623,3.36,7.23,1.42,77.59,68.97,1
4789,845,3.30,10.56,1.79,87.70,89.31,1
4790,811,2.07,4.83,2.47,76.71,84.72,0
4791,803,2.66,6.04,1.34,80.93,83.30,1
